50,,,,,,,,,,,,,,,,,,,
19,sensor_mode,mask_design_en,r_black_offset,gr_black_offset,gb_black_offset,b_black_offset,k_tone_bypass,tr_first_tile_width,tr_first_tile_height,out_line_offset,out_line_num,RawHsize,RawVsize,SrcHbase,SrcVbase,SrcHsize,SrcVsize,DestHsize,DestVsize
pattern_00001,2,0,1,2048,4095,1,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00002,2,0,2048,4095,1,2048,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00003,2,0,4095,1,2048,4095,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00004,2,0,1,1,1,1,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00005,2,0,4095,4095,4095,4095,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00006,2,0,1,2048,4095,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00007,2,0,2048,4095,1,2048,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00008,2,0,4095,1,2048,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00009,2,0,1,1,1,1,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00010,2,0,4095,4095,4095,4095,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00011,2,0,58,1156,3194,2123,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00012,2,0,1582,579,884,520,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00013,2,0,2320,3199,1432,3664,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00014,2,0,3910,1753,1893,2228,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00015,2,0,3336,3570,1898,133,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00016,2,0,713,2311,1416,2820,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00017,2,0,2428,339,1460,911,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00018,2,0,3524,4063,353,3983,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00019,2,0,443,2719,2416,382,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00020,2,0,1773,2414,2670,2605,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00021,2,0,3655,3682,1715,1370,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00022,2,0,3784,1599,2457,129,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00023,2,0,1097,3474,767,11,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00024,2,0,281,1355,1885,1882,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00025,2,0,2533,2927,1268,3158,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00026,2,0,4067,1870,2479,370,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00027,2,0,3610,473,125,3253,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00028,2,0,3770,695,449,638,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00029,2,0,1472,3085,2143,3311,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00030,2,0,1980,3124,3752,2740,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00031,2,0,3398,3784,3550,976,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00032,2,0,3485,2583,3502,233,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00033,2,0,2800,2111,1959,1215,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00034,2,0,907,3537,1027,671,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00035,2,0,3564,2134,3883,3043,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00036,2,0,2784,2333,728,858,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00037,2,0,3926,3051,3429,2483,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00038,2,0,3208,409,699,3977,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00039,2,0,1479,1879,1234,1408,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00040,2,0,1605,80,3539,3068,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00041,2,0,1652,868,2909,2648,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00042,2,0,2000,1491,3085,2382,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00043,2,0,3936,1726,889,2711,1,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
