80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,cfa_color_ord,y_src_sel,flyby_in_crop_en,flyby_in_top_crop_num,flyby_in_down_crop_num,flyby_in_left_crop_num,flyby_in_right_crop_num,tr_first_tile_width,tr_first_tile_height,out_line_offset,out_line_num,RawHsize,RawVsize,SrcHbase,SrcVbase,SrcHsize,SrcVsize,DestHsize,DestVsize,,,,,,,,,,,
pattern_00001,0,0,0,1,1,1,1,31,8189,31,8189,32,8190,0,0,32,8190,32,8190,,,,,,,,,,,
pattern_00002,1,0,1,8158,0,0,0,31,8189,31,31,32,8190,0,0,32,8190,32,32,,,,,,,,,,,
pattern_00003,2,0,1,0,8158,0,0,31,8189,31,31,32,8190,0,0,32,8190,32,32,,,,,,,,,,,
pattern_00004,3,1,0,1,1,1,1,31,8189,31,8189,32,8190,0,0,32,8190,32,8190,,,,,,,,,,,
pattern_00005,0,1,1,8158,0,0,0,31,8189,31,31,32,8190,0,0,32,8190,32,32,,,,,,,,,,,
pattern_00006,1,1,1,0,8158,0,0,31,8189,31,31,32,8190,0,0,32,8190,32,32,,,,,,,,,,,
pattern_00007,0,1,0,0,0,0,0,31,959,31,959,32,8190,0,0,32,960,32,960,,,,,,,,,,,
pattern_00008,1,0,0,0,0,0,0,31,2371,31,2371,32,8190,0,0,32,2372,32,2372,,,,,,,,,,,
pattern_00009,2,1,0,0,0,0,0,31,2769,31,2769,32,8190,0,0,32,2770,32,2770,,,,,,,,,,,
pattern_00010,3,0,0,0,0,0,0,31,4239,31,4239,32,8190,0,0,32,4240,32,4240,,,,,,,,,,,
pattern_00011,0,1,0,0,0,0,0,31,2073,31,2073,32,8190,0,0,32,2074,32,2074,,,,,,,,,,,
pattern_00012,1,0,0,0,0,0,0,31,8029,31,8029,32,8190,0,0,32,8030,32,8030,,,,,,,,,,,
pattern_00013,2,1,0,0,0,0,0,31,8037,31,8037,32,8190,0,0,32,8038,32,8038,,,,,,,,,,,
pattern_00014,3,0,0,0,0,0,0,31,4483,31,4483,32,8190,0,0,32,4484,32,4484,,,,,,,,,,,
pattern_00015,0,1,0,0,0,0,0,31,4769,31,4769,32,8190,0,0,32,4770,32,4770,,,,,,,,,,,
pattern_00016,1,1,0,0,0,0,0,31,1795,31,1795,32,8190,0,0,32,1796,32,1796,,,,,,,,,,,
pattern_00017,2,1,0,0,0,0,0,31,3671,31,3671,32,8190,0,0,32,3672,32,3672,,,,,,,,,,,
pattern_00018,3,0,0,0,0,0,0,31,3895,31,3895,32,8190,0,0,32,3896,32,3896,,,,,,,,,,,
pattern_00019,0,1,0,0,0,0,0,31,4193,31,4193,32,8190,0,0,32,4194,32,4194,,,,,,,,,,,
pattern_00020,1,1,0,0,0,0,0,31,1769,31,1769,32,8190,0,0,32,1770,32,1770,,,,,,,,,,,
pattern_00021,2,0,0,0,0,0,0,31,4739,31,4739,32,8190,0,0,32,4740,32,4740,,,,,,,,,,,
pattern_00022,3,0,0,0,0,0,0,31,6673,31,6673,32,8190,0,0,32,6674,32,6674,,,,,,,,,,,
pattern_00023,0,0,0,0,0,0,0,31,5765,31,5765,32,8190,0,0,32,5766,32,5766,,,,,,,,,,,
pattern_00024,1,0,0,0,0,0,0,31,5955,31,5955,32,8190,0,0,32,5956,32,5956,,,,,,,,,,,
pattern_00025,2,1,0,0,0,0,0,31,6701,31,6701,32,8190,0,0,32,6702,32,6702,,,,,,,,,,,
pattern_00026,3,0,0,0,0,0,0,31,683,31,683,32,8190,0,0,32,684,32,684,,,,,,,,,,,
pattern_00027,0,1,0,0,0,0,0,31,2305,31,2305,32,8190,0,0,32,2306,32,2306,,,,,,,,,,,
