400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ycs_bypass,CoefR2Y,CoefG2Y,CoefB2Y,CoefR2Cb,CoefG2Cb,CoefB2Cb,CoefR2Cr,CoefG2Cr,CoefB2Cr,RGB2YCC_cb_offset,RGB2YCC_cr_offset,chro_mode,chro_y_th,chro_th,chro_cutoff_th1,chro_cutoff_th2,chro_a1,chro_a2,chro_lut1,chro_lut2,chro_lut3,chro_lut4,chro_lut5,chro_lut6,chro_lut7,chro_lut8,chro_lut9,chro_lut10,chro_lut11,chro_lut12,chro_lut13,chro_lut14,chro_lut15,lut_ycs_y_1,lut_ycs_y_2,lut_ycs_y_3,lut_ycs_y_4,lut_ycs_y_5,lut_ycs_y_6,lut_ycs_y_7,lut_ycs_y_8,lut_ycs_y_9,lut_ycs_y_10,lut_ycs_y_11,lut_ycs_y_12,lut_ycs_y_13,lut_ycs_y_14,lut_ycs_y_15,lut_ycs_y_16,lut_ycs_y_17,lut_ycs_y_18,lut_ycs_y_19,lut_ycs_y_20,lut_ycs_y_21,lut_ycs_y_22,lut_ycs_y_23,lut_ycs_y_24,lut_ycs_y_25,lut_ycs_y_26,lut_ycs_y_27,lut_ycs_y_28,lut_ycs_y_29,lut_ycs_y_30,lut_ycs_y_31,lut_ycs_y_32,lut_ycs_y_33,lut_ycs_c_1,lut_ycs_c_2,lut_ycs_c_3,lut_ycs_c_4,lut_ycs_c_5,lut_ycs_c_6,lut_ycs_c_7,lut_ycs_c_8,lut_ycs_c_9,lut_ycs_c_10,lut_ycs_c_11,lut_ycs_c_12,lut_ycs_c_13,lut_ycs_c_14,lut_ycs_c_15,lut_ycs_c_16,lut_ycs_c_17,tr_first_tile_width,tr_first_tile_height,out_line_offset,out_line_num,RawHsize,RawVsize,SrcHbase,SrcVbase,SrcHsize,SrcVsize,DestHsize,DestVsize
pattern_00001,0,0,2047,2048,0,2047,2048,0,2047,2048,0,0,0,40,15,3,3,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5,0,64,28,30,30,16,10,26,39,48,7,25,16,2,35,62,41,38,59,1,64,33,5,3,51,9,26,32,63,32,21,57,46,29,30,9,26,63,62,2,64,7,51,43,63,61,61,27,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00002,0,2048,0,2047,2048,0,2047,2048,0,2047,0,0,1,40,15,3,3,25,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,5,14,30,23,58,58,17,7,8,15,28,62,40,19,40,39,48,45,28,20,11,51,19,41,61,10,4,11,8,61,49,35,31,15,14,62,30,56,59,38,2,8,24,32,20,43,21,15,14,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00003,0,2047,2048,0,2047,2048,0,2047,2048,0,0,0,2,40,15,3,3,25,25,12,10,6,13,13,1,7,14,2,9,6,15,0,9,12,63,4,1,19,41,9,25,8,6,20,33,39,58,11,43,20,52,21,57,39,25,46,44,5,41,34,9,51,9,1,52,22,38,56,12,32,49,10,50,44,41,31,0,43,57,15,36,5,1,25,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00004,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,0,0,40,15,3,3,25,25,11,3,10,1,14,2,4,10,12,0,11,1,3,7,13,55,31,12,32,16,15,15,30,31,54,38,4,16,0,52,11,32,26,42,14,2,41,15,0,52,22,23,18,14,59,16,49,5,40,41,60,36,26,41,62,59,57,18,50,15,26,46,49,45,15,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00005,0,2048,2048,2048,2048,2048,2048,2048,2048,2048,0,0,1,40,15,3,3,25,25,14,7,3,12,8,3,6,7,0,5,5,8,2,6,5,44,27,11,39,7,46,24,49,30,33,34,44,36,46,48,56,19,35,33,51,45,43,2,24,36,41,59,9,55,52,28,59,38,22,12,13,3,15,22,2,35,39,46,37,7,37,7,54,21,16,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00006,0,0,2047,4095,0,2047,4095,0,2047,4095,0,0,2,40,15,3,3,25,25,0,6,6,5,2,12,15,10,13,10,9,7,8,9,11,56,40,8,13,52,63,15,31,45,7,8,4,35,4,46,60,58,47,40,17,54,1,49,20,17,39,51,22,6,52,5,61,10,47,43,21,10,32,63,7,18,11,30,44,28,11,38,28,37,46,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00007,0,4095,0,2047,4095,0,2047,4095,0,2047,0,0,0,40,15,3,3,25,25,0,0,15,1,4,14,3,9,13,13,2,8,15,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00008,0,2047,4095,0,2047,4095,0,2047,4095,0,0,0,1,40,15,3,3,25,25,3,15,8,12,10,5,13,6,7,6,6,13,3,10,2,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00009,0,0,2047,2048,0,2047,2048,0,2047,2048,0,511,2,40,15,3,3,25,25,4,14,10,6,6,11,14,3,0,13,7,9,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
pattern_00010,0,2048,0,2047,2048,0,2047,2048,0,2047,0,511,0,40,15,3,3,25,25,8,15,9,0,12,14,15,2,8,0,14,8,14,0,12,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,1279,2111,1279,2111,1280,2112,0,0,1280,2112,1280,2112
